0,0,0,0,YYYYY,MM,DD,hh,mm
533,39,15,24,2020,07,23,20,18
534,39,15,24,2020,07,23,21,13
534,39,15,24,2020,07,24,00,55
534,39,15,24,2020,07,24,00,55
535,39,15,24,2020,07,24,00,56
536,39,15,24,2020,07,24,21,12
536,39,15,24,2020,07,25,03,55
536,39,15,24,2020,07,25,03,55
537,39,15,24,2020,07,25,19,24
538,39,15,24,2020,07,25,19,29
539,39,15,24,2020,07,25,22,41
540,39,15,24,2020,07,25,23,43
540,39,15,24,2020,07,26,00,20
540,39,15,24,2020,07,26,00,20
541,39,15,24,2020,07,26,00,46
542,39,15,24,2020,07,26,00,59
543,39,15,24,2020,07,26,01,00
544,39,15,24,2020,07,26,01,02
544,39,15,24,2020,07,26,03,30
544,39,15,24,2020,07,26,13,17
544,39,15,24,2020,07,27,02,36
545,39,15,24,2020,07,27,02,38
545,39,15,24,2020,07,27,02,38
545,39,15,24,2020,07,27,02,39
545,39,15,24,2020,07,27,02,39
545,39,15,24,2020,07,27,02,39
546,39,15,24,2020,07,27,02,40
547,39,15,24,2020,07,27,02,44
547,39,15,24,2020,07,27,03,13
548,39,15,24,2020,07,27,22,06
549,39,15,24,2020,07,27,22,08
549,39,15,24,2020,07,28,00,01
549,39,15,24,2020,07,28,00,01
549,39,15,24,2020,07,28,02,55
550,39,15,24,2020,07,28,12,51
551,39,15,24,2020,07,28,14,04
552,39,15,24,2020,07,28,14,07
553,39,15,24,2020,07,28,14,10
556,39,15,24,2020,07,28,14,20
557,39,15,24,2020,07,28,14,25
557,39,15,24,2020,07,29,00,29
557,39,15,24,2020,07,29,00,29
558,39,15,24,2020,07,29,15,27
559,39,15,24,2020,07,29,15,30
559,39,15,24,2020,07,29,16,06
559,39,15,24,2020,07,29,16,20
559,39,15,24,2020,07,29,16,20
559,39,15,24,2020,07,29,16,21
560,39,15,24,2020,07,29,17,17
561,39,15,24,2020,07,29,18,50
562,39,15,24,2020,07,29,19,54
563,39,15,24,2020,07,29,20,01
564,39,15,24,2020,07,29,20,45
564,39,15,24,2020,07,31,01,27
566,39,15,24,2020,07,31,02,00
568,39,15,24,2020,07,31,03,16
570,39,15,24,2020,07,31,03,37
570,39,15,24,2020,07,31,04,36
570,39,15,24,2020,07,31,15,16
570,39,15,24,2020,07,31,19,42
571,39,15,24,2020,07,31,20,17
572,39,15,24,2020,07,31,21,50
573,39,15,24,2020,07,31,23,00
573,39,15,24,2020,08,01,01,45
573,39,15,24,2020,08,01,01,45
573,39,15,24,2020,08,01,01,45
573,39,15,24,2020,08,01,01,45
574,39,15,24,2020,08,01,01,46
575,39,15,24,2020,08,01,03,20
576,39,15,24,2020,08,01,03,22
576,39,15,24,2020,08,01,04,21
576,39,15,24,2020,08,01,21,28
577,39,15,24,2020,08,01,22,10
578,39,15,24,2020,08,01,22,12
578,39,15,24,2020,08,02,01,18
578,39,15,24,2020,08,02,01,18
579,39,15,24,2020,08,02,01,20
580,39,15,24,2020,08,02,01,24
581,39,15,24,2020,08,02,01,25
582,39,15,24,2020,08,02,01,28
582,39,15,24,2020,08,02,02,55
583,39,15,24,2020,08,02,20,54
584,39,15,24,2020,08,02,20,55
585,39,15,24,2020,08,02,23,11
586,39,15,24,2020,08,02,23,11
587,39,15,24,2020,08,02,23,29
587,39,15,24,2020,08,03,01,35
587,39,15,24,2020,08,03,01,35
587,39,15,24,2020,08,03,01,35
588,39,15,24,2020,08,03,01,36
589,39,15,24,2020,08,03,01,39
590,39,15,24,2020,08,03,01,44
590,39,15,24,2020,08,03,03,22
591,39,15,24,2020,08,03,17,25
592,39,15,24,2020,08,03,17,39
593,39,15,24,2020,08,03,19,41
594,39,15,24,2020,08,03,22,12
595,39,15,24,2020,08,04,01,04
595,39,15,24,2020,08,04,01,04
595,39,15,24,2020,08,04,01,04
595,39,15,24,2020,08,04,01,04
596,39,15,24,2020,08,04,01,35
597,39,15,24,2020,08,04,03,17
598,39,15,24,2020,08,04,18,59
600,39,15,24,2020,08,04,19,29
601,39,15,24,2020,08,04,23,33
602,39,15,24,2020,08,04,23,58
602,39,15,24,2020,08,04,23,58
603,39,15,24,2020,08,05,20,52
604,39,15,24,2020,08,05,21,34
605,39,15,24,2020,08,05,23,12
606,39,15,24,2020,08,05,23,13
606,39,15,24,2020,08,06,00,49
606,39,15,24,2020,08,06,00,49
606,39,15,24,2020,08,06,00,49
606,39,15,24,2020,08,06,00,49
606,39,15,24,2020,08,06,04,14
607,39,15,24,2020,08,06,19,11
608,39,15,24,2020,08,06,22,29
609,39,15,24,2020,08,06,22,41
610,39,15,24,2020,08,06,23,02
611,39,15,24,2020,08,06,23,12
611,39,15,24,2020,08,07,01,57
611,39,15,24,2020,08,07,01,57
611,39,15,24,2020,08,07,01,57
611,39,15,24,2020,08,07,01,57
